x,y,z,time
9.414001,-9.380483,8.212111,00:44:06.792000
6.579266,-7.527370,6.694188,00:44:06.818000
4.965574,-5.453991,4.256891,00:44:06.832000
4.592079,-5.497087,3.859453,00:44:06.857000
4.185065,-6.023811,5.468357,00:44:06.872000
3.399766,-6.138733,7.283162,00:44:06.897000
2.906561,-6.440403,8.173804,00:44:06.911000
2.987964,-7.110779,8.169016,00:44:06.937000
3.442862,-7.359776,7.067683,00:44:06.959000
5.875371,-5.707777,5.774815,00:44:06.975000
9.054871,-6.406884,6.933608,00:44:06.991000
8.508993,-8.264784,7.848193,00:44:07.010000
5.884948,-6.574478,5.511452,00:44:07.031000
4.807557,-5.367800,3.332729,00:44:07.055000
4.711789,-5.937620,3.835511,00:44:07.073000
4.161122,-6.473921,6.138733,00:44:07.098000
3.414132,-6.737284,7.958326,00:44:07.112000
3.031059,-7.067683,8.149862,00:44:07.138000
2.887407,-7.139510,7.551312,00:44:07.152000
3.912126,-4.888960,5.564125,00:44:07.178000
7.407660,-4.716578,6.023811,00:44:07.192000
8.992621,-7.541735,8.140285,00:44:07.217000
6.770802,-7.364564,6.679823,00:44:07.232000
5.008670,-5.640739,4.132392,00:44:07.258000
4.845864,-5.765238,3.481169,00:44:07.272000
4.836287,-6.770802,4.965574,00:44:07.298000
3.964798,-6.818686,6.991069,00:44:07.312000
3.126827,-7.038953,8.303091,00:44:07.338000
3.031059,-7.881712,8.427590,00:44:07.352000
3.260903,-8.159439,7.508216,00:44:07.377000
4.917690,-5.568913,5.568913,00:44:07.401000
8.049306,-5.363012,5.918467,00:44:07.417000
8.336611,-7.752425,7.010222,00:44:07.432000
6.052542,-6.789956,4.984728,00:44:07.450000
5.037400,-5.430049,3.093309,00:44:07.472000
5.099649,-5.875371,3.533842,00:44:07.497000
4.769250,-6.732495,5.248090,00:44:07.511000
3.854665,-7.005434,6.962338,00:44:07.537000
3.189077,-7.345411,8.121132,00:44:07.551000
3.035848,-7.953538,8.384495,00:44:07.577000
2.916138,-8.173804,7.690176,00:44:07.591000
4.793192,-5.841852,6.253655,00:44:07.617000
8.604761,-5.904101,7.508216,00:44:07.632000
8.585608,-8.279149,8.734048,00:44:07.657000
5.492299,-6.617573,5.564125,00:44:07.671000
4.462792,-4.644751,2.590526,00:44:07.699000
5.200206,-5.425261,3.007117,00:44:07.713000
5.482722,-7.038953,5.305551,00:44:07.737000
4.735731,-7.656657,6.991069,00:44:07.751000
4.261679,-7.580042,7.268796,00:44:07.777000
3.471592,-6.871359,6.454768,00:44:07.791000
3.409343,-6.670246,6.009446,00:44:07.820000
3.447650,-6.411672,5.343858,00:44:07.847000
3.533842,-6.359000,5.046977,00:44:07.858000
3.256114,-6.315904,5.324705,00:44:07.873000
2.753332,-6.536170,6.272809,00:44:07.891000
2.590526,-8.303091,7.881712,00:44:07.912000
3.126827,-10.424355,9.083601,00:44:07.937000
6.449979,-6.670246,8.020576,00:44:07.951000
11.171345,-5.013458,8.714894,00:44:07.981000
9.533711,-7.445967,9.045294,00:44:07.994000
4.592079,-5.837064,4.553771,00:44:08.016000
4.319140,-4.745308,1.422156,00:44:08.034000
5.837064,-5.813122,3.002329,00:44:08.058000
5.698200,-7.048530,6.248867,00:44:08.072000
4.563348,-7.302315,7.785944,00:44:08.099000
3.505111,-6.866570,7.331046,00:44:08.114000
2.959233,-6.392519,6.248867,00:44:08.139000
2.782062,-6.057330,5.760449,00:44:08.153000
2.753332,-5.712565,5.784391,00:44:08.179000
2.662352,-5.396531,5.784391,00:44:08.193000
2.331953,-5.190629,6.133945,00:44:08.219000
2.164358,-5.841852,7.024588,00:44:08.233000
2.207454,-7.795521,8.556877,00:44:08.261000
2.006341,-7.694964,8.748413,00:44:08.286000
6.727707,-3.011906,9.217676,00:44:08.305000
12.909535,-4.505888,12.885593,00:44:08.318000
11.166556,-9.753978,12.267890,00:44:08.333000
5.698200,-6.325481,5.046977,00:44:08.352000
3.332729,-1.465251,0.124498,00:44:08.374000
4.596867,-2.461239,1.508347,00:44:08.397000
5.822699,-5.635951,5.434838,00:44:08.412000
4.922479,-6.593631,7.742848,00:44:08.442000
3.246537,-5.942409,7.876924,00:44:08.455000
2.389413,-5.267244,7.115568,00:44:08.475000
2.365471,-5.003881,6.392519,00:44:08.496000
2.647987,-5.142745,5.827487,00:44:08.514000
2.896984,-5.281609,5.420473,00:44:08.540000
3.040636,-5.185841,5.248090,00:44:08.554000
3.318364,-5.501875,5.157111,00:44:08.580000
3.926491,-6.493075,5.157111,00:44:08.594000
4.707001,-7.273585,5.358223,00:44:08.619000
5.430049,-7.819463,5.535394,00:44:08.634000
6.320693,-9.165004,5.444415,00:44:08.660000
7.144298,-10.314221,5.334281,00:44:08.674000
7.192182,-9.844957,5.363012,00:44:08.700000
6.703765,-8.930372,5.171476,00:44:08.714000
6.406884,-8.815451,4.754885,00:44:08.751000
6.368577,-9.035717,4.467580,00:44:08.766000
6.277597,-8.868123,4.429273,00:44:08.778000
6.062119,-8.164227,4.515464,00:44:08.804000
5.803545,-7.187394,4.553771,00:44:08.817000
5.688623,-6.445191,4.381389,00:44:08.832000
5.884948,-6.263232,4.098873,00:44:08.857000
6.325481,-6.507440,4.065354,00:44:08.872000
6.933608,-7.680599,4.841076,00:44:08.902000
6.995857,-9.160215,5.750873,00:44:08.915000
