x,y,z,time
0.799663,-10.424355,1.307234,00:44:06.792000
0.766145,-10.409989,1.288081,00:44:06.806000
0.727837,-10.467450,1.297657,00:44:06.832000
0.756568,-10.400413,1.326388,00:44:06.860000
0.794875,-10.395624,1.331176,00:44:06.872000
0.742203,-10.548853,1.268927,00:44:06.886000
0.646434,-10.558430,1.211466,00:44:06.904000
0.641646,-10.390836,1.197101,00:44:06.924000
0.703895,-10.414778,1.216254,00:44:06.954000
0.746991,-10.649409,1.225831,00:44:06.967000
0.751779,-10.625467,1.216254,00:44:06.993000
0.761356,-10.347740,1.206678,00:44:07.007000
0.804452,-10.285490,1.211466,00:44:07.034000
0.866701,-10.477027,1.244985,00:44:07.047000
0.852336,-10.587160,1.264138,00:44:07.074000
0.790087,-10.548853,1.235408,00:44:07.087000
0.804452,-10.424355,1.259350,00:44:07.113000
0.866701,-10.319010,1.340753,00:44:07.127000
0.847547,-10.433931,1.398214,00:44:07.153000
0.828394,-10.615891,1.407791,00:44:07.167000
0.847547,-10.563218,1.393425,00:44:07.194000
0.837971,-10.500969,1.388637,00:44:07.207000
0.847547,-10.817003,1.383849,00:44:07.234000
0.895431,-11.133038,1.374272,00:44:07.247000
0.866701,-10.998962,1.312023,00:44:07.288000
0.785298,-10.821792,1.254562,00:44:07.305000
0.502782,-10.208876,1.177947,00:44:07.320000
0.469264,-9.979033,1.197101,00:44:07.331000
0.459687,-9.595961,1.216254,00:44:07.346000
0.402226,-9.485827,1.230620,00:44:07.367000
0.411803,-9.643845,1.307234,00:44:07.393000
0.593762,-10.012551,1.417367,00:44:07.407000
0.861913,-10.414778,1.474828,00:44:07.433000
1.029507,-11.008539,1.345541,00:44:07.447000
0.986411,-11.343728,1.230620,00:44:07.473000
0.746991,-10.955867,1.350330,00:44:07.487000
0.565032,-10.572795,1.369483,00:44:07.510000
0.608127,-10.462662,1.288081,00:44:07.525000
0.780510,-10.299856,1.321599,00:44:07.555000
0.794875,-10.180145,1.307234,00:44:07.568000
0.651223,-10.462662,1.340753,00:44:07.589000
0.665588,-10.845734,1.374272,00:44:07.604000
0.713472,-10.817003,1.307234,00:44:07.638000
0.651223,-10.510546,1.292869,00:44:07.665000
0.612916,-10.314221,1.249773,00:44:07.679000
0.545878,-10.386047,1.130063,00:44:07.691000
0.493206,-10.524911,1.134852,00:44:07.706000
0.526724,-10.524911,1.168370,00:44:07.725000
0.555455,-10.544065,1.158794,00:44:07.751000
0.545878,-10.591949,1.149217,00:44:07.765000
0.507571,-10.548853,1.120486,00:44:07.791000
0.584185,-10.462662,1.058237,00:44:07.806000
0.756568,-10.362105,0.933739,00:44:07.837000
0.761356,-10.304645,0.823605,00:44:07.849000
0.684742,-10.319010,0.866701,00:44:07.867000
0.775721,-10.414778,1.019930,00:44:07.892000
0.881066,-10.529699,1.139640,00:44:07.906000
0.790087,-10.577583,1.173159,00:44:07.933000
0.636858,-10.386047,1.158794,00:44:07.947000
0.545878,-9.950302,1.158794,00:44:07.973000
0.507571,-9.811439,1.249773,00:44:07.987000
0.555455,-10.218452,1.369483,00:44:08.011000
0.699107,-10.769119,1.312023,00:44:08.026000
0.746991,-11.080365,1.125275,00:44:08.053000
0.670376,-11.032481,0.972046,00:44:08.067000
0.545878,-10.778696,0.933739,00:44:08.103000
0.478840,-10.572795,1.029507,00:44:08.121000
0.636858,-10.553641,1.130063,00:44:08.133000
0.847547,-10.611102,1.149217,00:44:08.148000
0.828394,-10.515334,1.125275,00:44:08.165000
0.665588,-10.352529,1.053449,00:44:08.187000
0.574608,-10.472239,1.029507,00:44:08.212000
0.660800,-10.716447,1.067814,00:44:08.227000
0.746991,-10.654198,1.058237,00:44:08.253000
0.708684,-10.443508,1.058237,00:44:08.268000
0.660800,-10.524911,1.063026,00:44:08.303000
0.665588,-10.754754,1.058237,00:44:08.317000
0.742203,-10.615891,1.082179,00:44:08.342000
0.790087,-10.529699,1.134852,00:44:08.354000
0.718261,-10.654198,1.168370,00:44:08.368000
0.526724,-10.386047,1.149217,00:44:08.386000
0.320823,-9.797073,1.082179,00:44:08.407000
0.239420,-9.701305,0.981623,00:44:08.426000
0.359130,-10.443508,0.972046,00:44:08.446000
0.560243,-10.831368,1.015141,00:44:08.467000
0.603339,-10.486604,1.101333,00:44:08.486000
0.565032,-10.251971,1.154005,00:44:08.508000
0.608127,-10.745177,1.077391,00:44:08.530000
0.694318,-11.147403,1.010353,00:44:08.559000
0.617704,-10.620679,1.077391,00:44:08.571000
0.454898,-10.218452,1.154005,00:44:08.586000
0.502782,-10.510546,1.173159,00:44:08.606000
0.737414,-10.807426,1.173159,00:44:08.627000
0.804452,-10.764331,1.154005,00:44:08.648000
0.665588,-10.668563,1.115698,00:44:08.666000
0.651223,-10.620679,1.053449,00:44:08.692000
0.823605,-10.663774,0.995988,00:44:08.710000
0.919373,-10.730812,1.039083,00:44:08.726000
0.991199,-10.644621,1.359907,00:44:08.748000
0.866701,-10.467450,1.355118,00:44:08.771000
0.469264,-10.160992,1.489193,00:44:08.785000
0.622492,-10.304645,1.671153,00:44:08.810000
1.302446,-10.730812,2.059013,00:44:08.825000
1.651999,-10.635044,2.135628,00:44:08.848000
1.249773,-10.242394,1.824382,00:44:08.869000
0.737414,-10.371682,1.738190,00:44:08.891000
0.785298,-10.807426,2.111686,00:44:08.905000
1.149217,-10.658986,2.470816,00:44:08.932000
1.412579,-10.175357,2.571373,00:44:08.945000
1.556231,-9.945514,2.609680,00:44:08.971000
1.426944,-9.993398,2.379837,00:44:08.999000
0.943315,-10.242394,2.121263,00:44:09.011000
0.909797,-10.529699,2.097321,00:44:09.026000
1.565808,-10.414778,1.853112,00:44:09.046000
1.944092,-9.629479,1.182736,00:44:09.069000
1.790863,-9.155427,0.517148,00:44:09.089000
1.762132,-9.375694,0.450110,00:44:09.112000
2.116474,-9.806650,0.426168,00:44:09.125000
2.169147,-10.323798,0.387861,00:44:09.152000
1.838747,-10.467450,0.995988,00:44:09.166000
1.561020,-10.290278,1.800440,00:44:09.192000
1.005565,-10.457873,1.843535,00:44:09.206000
0.076614,-9.576807,1.460463,00:44:09.232000
-0.919373,-5.061342,2.135628,00:44:09.246000
-1.244985,-1.431733,3.275268,00:44:09.272000
-0.339977,-3.102885,3.414132,00:44:09.286000
1.417367,-7.115568,2.858677,00:44:09.312000
2.772485,-10.735600,2.619257,00:44:09.326000
2.858677,-12.267890,2.791639,00:44:09.353000
2.178724,-12.904747,2.260126,00:44:09.366000
2.240973,-14.192827,1.034295,00:44:09.393000
4.074931,-15.121778,-0.239420,00:44:09.418000
6.359000,-14.532804,-1.000776,00:44:09.431000
7.599196,-12.943054,-1.024718,00:44:09.445000
7.642292,-11.449073,-0.986411,00:44:09.467000
7.110779,-11.219229,-0.766145,00:44:09.489000
6.880936,-10.687716,-0.210690,00:44:09.510000
6.928820,-8.935161,0.517148,00:44:09.529000
6.804321,-9.414001,1.340753,00:44:09.551000
7.072472,-13.498509,2.159570,00:44:09.569000
7.852982,-17.654844,2.293645,00:44:09.590000
7.752425,-17.985243,1.517924,00:44:09.609000
6.119579,-14.609419,0.627281,00:44:09.631000
3.624821,-9.998186,0.110133,00:44:09.649000
1.158794,-6.967127,0.095768,00:44:09.670000
-0.627281,-5.923255,0.081403,00:44:09.690000
-2.015918,-5.554548,0.095768,00:44:09.710000
-3.303998,-5.659893,0.469264,00:44:09.735000
-4.065354,-6.042965,1.316811,00:44:09.749000
-3.840300,-6.430826,2.001553,00:44:09.772000
-2.758120,-8.892065,1.958457,00:44:09.790000
-1.479617,-11.789049,1.728614,00:44:09.824000
-0.847547,-11.923124,1.508347,00:44:09.871000
-1.034295,-10.797850,1.163582,00:44:09.884000
-1.422156,-7.685388,1.369483,00:44:09.896000
-1.651999,-1.752556,2.260126,00:44:09.910000
-2.068590,1.742979,2.887407,00:44:09.923000
-2.298434,0.177171,2.935291,00:44:09.940000
-0.957681,-4.884171,2.973598,00:44:09.959000
2.145205,-12.018892,2.547431,00:44:09.977000
5.477933,-18.861521,1.335965,00:44:09.990000
8.006210,-22.869415,0.344765,00:44:10.006000
9.351752,-21.883003,-0.162806,00:44:10.031000
8.863335,-17.223886,-0.531513,00:44:10.050000
6.497863,-10.912771,-0.723049,00:44:10.071000
3.658340,-5.147533,-0.459687,00:44:10.090000
2.059013,-4.256891,-0.162806,00:44:10.111000
2.695871,-7.388506,0.105345,00:44:10.130000
5.803545,-9.710882,1.513135,00:44:10.151000
7.819463,-10.218452,2.255338,00:44:10.186000
14.733917,-18.061857,2.815581,00:44:10.200000
16.227900,-21.930887,2.264915,00:44:10.211000
10.989386,-23.376986,0.670376,00:44:10.227000
7.240066,-19.876663,-0.392649,00:44:10.247000
1.513135,-11.765107,-0.799663,00:44:10.269000
-0.742203,-5.717354,0.502782,00:44:10.287000
-1.666364,-2.633622,2.217031,00:44:10.310000
-2.365471,-1.211466,3.227384,00:44:10.331000
-2.676718,-1.273715,2.619257,00:44:10.353000
-3.485958,-4.070143,1.517924,00:44:10.367000
-4.812346,-10.046070,0.162806,00:44:10.394000
-5.468357,-13.613431,-0.837971,00:44:10.407000
-5.904101,-12.186486,0.258574,00:44:10.433000
-4.544195,-10.534488,0.550666,00:44:10.446000
-0.584185,-9.035717,-0.052672,00:44:10.474000
